table,rows,layer
source,2,core
language,3,core
pos,3,core
orthography_system,2,core
lexical_status,5,core
lexical_unit,15,core
lemma,5,core
dict_entry,5,core
gloss,5,core
form_kind,5,core
generation_status,5,core
form,5,core
dialect_group,3,core
dialect,6,core
lexical_unit_dialect,4,core
variant_type,5,core
lexical_unit_variant,2,core
orthographic_form,3,core
transitivity_type,5,core
verb_lemma,4,core
verb_transitivity_alternation,1,core
person,3,core
grammatical_number,2,core
mood,3,core
tense,9,core
aspect,4,core
polarity,2,core
verb_tam,6,core
verb_form,4,core
morpheme_type,4,core
morpheme_function,6,core
morpheme,5,core
morpheme_allomorph,6,core
form_morpheme,8,core
derivation_pattern,2,core
verb_derivation,1,core
verb_derivation_morpheme,1,core
mwlu_type,4,core
multiword_lexical_unit,1,core
mwlu_component_role,6,core
mwlu_component,2,core
mwlu_surface_pattern,1,core
compound_verb,1,core
continuation_class,4,core
lemma_continuation_class,3,core
continuation_arc,3,core
