table,rows,layer
source,2,full
language,3,full
pos,3,full
orthography_system,2,full
lexical_status,5,full
lexical_unit,19,full
lemma,5,full
dict_entry,5,full
gloss,5,full
form_kind,5,full
generation_status,5,full
form,9,full
dialect_group,3,full
dialect,6,full
lexical_unit_dialect,4,full
variant_type,5,full
lexical_unit_variant,2,full
orthographic_form,3,full
transitivity_type,5,full
verb_lemma,4,full
verb_transitivity_alternation,1,full
person,3,full
grammatical_number,2,full
mood,3,full
tense,9,full
aspect,4,full
polarity,2,full
verb_tam,8,full
verb_form,8,full
morpheme_type,4,full
morpheme_function,6,full
morpheme,5,full
morpheme_allomorph,6,full
form_morpheme,11,full
derivation_pattern,2,full
verb_derivation,1,full
verb_derivation_morpheme,1,full
mwlu_type,4,full
multiword_lexical_unit,1,full
mwlu_component_role,6,full
mwlu_component,2,full
mwlu_surface_pattern,1,full
compound_verb,1,full
continuation_class,4,full
lemma_continuation_class,3,full
continuation_arc,3,full
